Date,Open,High,Low,Close,Adj Close,Volume
2017-09-26,74443.000000,74971.000000,74319.000000,74319.000000,74319.000000,3565400
2017-09-27,74358.000000,74744.000000,73125.000000,73797.000000,73797.000000,3788600
2017-09-28,73808.000000,74011.000000,73277.000000,73567.000000,73567.000000,3082900
2017-09-29,73571.000000,74518.000000,73571.000000,74294.000000,74294.000000,3126600
2017-10-02,74295.000000,74506.000000,73845.000000,74360.000000,74360.000000,2512000
2017-10-03,74363.000000,76763.000000,74363.000000,76763.000000,76763.000000,3816900
2017-10-04,76763.000000,77004.000000,76422.000000,76591.000000,76591.000000,3119500
2017-10-05,76592.000000,78024.000000,76592.000000,76618.000000,76618.000000,4112900
2017-10-06,76618.000000,76618.000000,75603.000000,76055.000000,76055.000000,2994300
2017-10-09,76055.000000,76067.000000,75181.000000,75727.000000,75727.000000,2335300
2017-10-10,75745.000000,76996.000000,75745.000000,76897.000000,76897.000000,3489200
2017-10-11,76910.000000,76985.000000,76323.000000,76660.000000,76660.000000,3781500
2017-10-12,null,null,null,null,null,null
2017-10-13,76659.000000,77319.000000,76659.000000,76990.000000,76990.000000,3200100
2017-10-16,76985.000000,77382.000000,76565.000000,76892.000000,76892.000000,3075600
2017-10-17,76892.000000,76892.000000,76046.000000,76201.000000,76201.000000,2771100
2017-10-18,76211.000000,76730.000000,76012.000000,76591.000000,76591.000000,3156800
2017-10-19,76591.000000,76591.000000,75366.000000,76283.000000,76283.000000,2509800
2017-10-20,76291.000000,76971.000000,76291.000000,76391.000000,76391.000000,2645300
2017-10-23,76398.000000,76498.000000,75315.000000,75413.000000,75413.000000,2631800
2017-10-24,75426.000000,76420.000000,75426.000000,76350.000000,76350.000000,3047500
2017-10-25,76350.000000,76883.000000,75404.000000,76671.000000,76671.000000,2953800
2017-10-26,76671.000000,77061.000000,75813.000000,75896.000000,75896.000000,2901100
2017-10-27,75898.000000,76617.000000,75601.000000,75976.000000,75976.000000,3434400
